((281864, 1644831557957641472, [0.674167515856669, 3.076425822063001, 0.192481469208038], [1.4833139285887607, -2.853148167384514, 1.6035086753803074]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281866, 1644831557968050688, [0.6964289285797073, 3.0397254238490503, 0.21122381254587902], [2.6266928687673663, -4.7878221267669865, 2.388238775949764]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281867, 1644831557973763072, [0.705191060124798, 3.020949222568343, 0.220435785426797], [1.5338834968186237, -3.2869291141329287, 1.612631938069638]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281869, 1644831557984615936, [0.7235964963612816, 2.987733530637336, 0.236225214549373], [2.0278969960923767, -4.035554013214546, 1.8647103070006774]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281871, 1644831557995894272, [0.7446839165504617, 2.9495436043178644, 0.25326022848184304], [1.8359612783026518, -3.56769117137721, 1.5017065084896233]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281873, 1644831558007562240, [0.7630132069678704, 2.9149862862390723, 0.266638890442367], [1.7634475131238672, -3.073268644310868, 1.2480555109101663]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281875, 1644831558018033664, [0.7833643505362662, 2.8758812063843853, 0.28105390595441204], [1.8254181843274377, -3.7214718974909906, 1.4735373080394873]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281876, 1644831558023537664, [0.7915617026386335, 2.8626201160408336, 0.284656987284848], [1.489344495342891, -2.409355076953437, 0.6546296021867668]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281878, 1644831558034851072, [0.8107769878718799, 2.825150221050126, 0.29664947436022204], [1.8915876256344966, -3.707962088871977, 1.4261843603110973]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281880, 1644831558045719808, [0.8301475864520219, 2.7886568780450807, 0.30482677989584706], [1.5838158663376616, -3.0610102587801, 0.26842014057326574]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281882, 1644831558056986112, [0.8479071201256466, 2.7563806635550154, 0.315227777125173], [1.6850320563762269, -2.6235638908393946, 0.8657627303753636]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281883, 1644831558062674432, [0.8584170668208467, 2.7367811016305073, 0.317049291845835], [1.8476363311487596, -3.445580052547708, 0.32022015650701763]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281885, 1644831558073561856, [0.8756269789369472, 2.7029184473445236, 0.32416461719941003], [1.6529239677036471, -2.8528903976826836, 0.2119133713292974]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281887, 1644831558084858880, [0.8952959539540596, 2.665362509956059, 0.33089151943973905], [1.4901190535706434, -2.8886378923594145, 0.42571964817017]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281889, 1644831558096229376, [0.912859715226554, 2.627783171058665, 0.335807784967661], [1.3351598077871638, -3.624903096382051, 0.7018573649685075]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281891, 1644831558107556864, [0.9318816420037238, 2.594034578853825, 0.337518441214172], [1.4959579692890106, -3.2790424933205187, 0.11509521417802938]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281893, 1644831558117953792, [0.9494699320855579, 2.5615528762992126, 0.338831857942606], [1.4837578726678036, -2.3360005049060764, 0.1334010665069923]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281894, 1644831558123648768, [0.9585724865750512, 2.544168925859446, 0.34060837980957503], [1.5983481738102803, -3.052506356438832, 0.31194545279366015]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281896, 1644831558135222272, [0.9764010341543267, 2.5090204499734634, 0.34004510583985403], [1.648294772725904, -2.7272640725599793, -0.012450499080040152]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281898, 1644831558146382080, [0.9944000918668537, 2.4749736029883955, 0.337734777494414], [1.6293901718879689, -2.839873843947225, -0.2691193776032736]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281900, 1644831558156826624, [1.012623860556146, 2.436985659810894, 0.33590192040107403], [1.5690039808874354, -3.4622597990808766, -0.39049563396656933]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281902, 1644831558168865792, [1.0297485135926463, 2.403869421791687, 0.333203700081449], [1.5421018343926784, -3.328508139655935, -0.012398520472558185]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281903, 1644831558173605376, [1.0383337161225357, 2.387786173622389, 0.33016900659985504], [1.8113831361337551, -3.3933881474192815, -0.6402868862739776]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281905, 1644831558184647168, [1.0568858785920403, 2.3505170186196986, 0.324180764237783], [1.6421142378173086, -2.9789946749962013, -0.5466706002806004]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281907, 1644831558195976448, [1.0733491745084396, 2.317328680566759, 0.318625264671796], [1.570692475257077, -3.196056871085631, -0.4001936014639733]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281909, 1644831558206920704, [1.0920215342198145, 2.2809558278543767, 0.31034447440025503], [1.8094563321831345, -3.4576392346738953, -0.5150300532599519]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281911, 1644831558218508800, [1.1078065829448565, 2.24754180416884, 0.301041569753595], [1.393960701076328, -2.75617624294611, -0.8208928751663063]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281912, 1644831558223580160, [1.1170808534550742, 2.231182328514135, 0.294827367791824], [1.8287541231972853, -3.2258557181318164, -1.2253521662376503]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281914, 1644831558234708224, [1.1336680273372548, 2.1980999108264796, 0.283427091778219], [1.5439115141890285, -2.576796870127015, -1.3348820154215177]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281916, 1644831558245752320, [1.1511003082552294, 2.1615191619244007, 0.273199011539463], [1.5870610401543834, -3.2372109533534, -1.2084857970444427]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281918, 1644831558257518080, [1.1680366762421182, 2.128362437184439, 0.25925233380928303], [1.3884447674388705, -2.6186388633326487, -1.2917358974500928]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281920, 1644831558267952128, [1.1840142535879092, 2.0951596635583463, 0.244778176262739], [1.5206254177181169, -3.15396736387925, -1.571097627285151]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281921, 1644831558273547264, [1.1922595878319941, 2.0779108097329657, 0.237080422175761], [1.4736610949376228, -3.0828301269853937, -1.375793919393203]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281923, 1644831558284910848, [1.209759692712665, 2.0412751614816314, 0.22286221233678702], [1.717309989869264, -3.5075644492475258, -0.9938634318313747]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281925, 1644831558295812608, [1.2270207148228933, 2.0081214231463624, 0.203894775055066], [1.548354833428123, -2.9460093571439527, -1.8570822854832312]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281927, 1644831558306975232, [1.2424486733907307, 1.9761365004041627, 0.185998336206659], [1.3970675887407342, -2.7007290989249513, -1.6259990709398762]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281929, 1644831558318660864, [1.259081870908684, 1.9413101927489966, 0.167410462576789], [1.3295594017331538, -2.8666620868187547, -1.3371998803022798]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281930, 1644831558323650304, [1.2669890382442488, 1.9244876462520935, 0.156733268159497], [1.5847805235787675, -3.3716301823257075, -2.139958475759199]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281932, 1644831558334667264, [1.282594434478204, 1.893005925188719, 0.13530500117307004], [1.564757646643198, -3.2593818109517376, -2.321761682769215]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281934, 1644831558345903104, [1.29873760828055, 1.8611680741743524, 0.11110105869557502], [1.2418043273586565, -2.3639887041142322, -2.4133122673171945]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281936, 1644831558357690880, [1.3139291205619932, 1.8268180091510264, 0.08955927642823602], [1.101742401001683, -2.213419724510548, -2.084178511065849]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281937, 1644831558362410752, [1.322967479673649, 1.8081707539090952, 0.078936971418825], [1.914958522531087, -3.9507968101531623, -2.250549381299117]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281939, 1644831558373788928, [1.338556771327911, 1.776055895215126, 0.05250268216119003], [1.1529775785058398, -2.8316433878782434, -2.278780851466073]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281941, 1644831558385563904, [1.3550778182610035, 1.7424317184103613, 0.02529267560685], [1.4447765520973965, -2.9220073901619448, -2.439427935253466]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281943, 1644831558396886528, [1.3707623661454384, 1.7098613050373972, -0.0020815905610049867], [1.131624258966672, -2.468460770098054, -2.0862791402360545]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281944, 1644831558401607936, [1.3781750270532167, 1.694897438320622, -0.015950554585274], [1.5700106637211306, -3.1693653072929293, -2.9374635753294385]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281947, 1644831558418469632, [1.4014464470335612, 1.6452127613438297, -0.05934448177625501], [1.4426448165873151, -3.221329462770299, -2.789769008647038]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281948, 1644831558423634176, [1.4095221618755276, 1.629688983249253, -0.07507519575952798], [1.563684004234709, -3.0058371260999466, -3.0459056953088153]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281950, 1644831558434919936, [1.4258611628642246, 1.5960522250249543, -0.10555388208579103], [1.4258562837488618, -3.011722157262331, -2.7347514474336725]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281952, 1644831558445881344, [1.4415922278558582, 1.5638735650943358, -0.137769467147216], [1.2579644800181171, -2.9675630775583755, -2.9753141528743563]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281954, 1644831558457696000, [1.4572560381099553, 1.5316210744762695, -0.17003115408185904], [1.1644928647539723, -2.7235499172909634, -2.5973290798566153]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((281956, 1644831558468054784, [1.4721639045379984, 1.500829484250898, -0.20393028195848], [1.3766478320008855, -3.0058014596552476, -3.534066815763502]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
